id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,retailvalue,energy-eff,monument
110058,3528,12.5,5.8,72.5,130.5,20.3,2,2250,5001,1930,1,580000,788000,0,1
110095,3528,14.5,6.6,95.7,148.5,29.7,1,2452,5012,1922,2,671000,884000,1,1
110606,3528,10.1,5.1,51.5,114.75,5.1,0,2008,5165,1942,1,500000,655000,0,0
110648,3528,12,7,84,157.5,21,2,2203,5161,1935,1,697000,957000,0,1
110799,3800,19.6,6.6,129.4,118.8,70,2,2961,5169,1941,1,579000,675000,0,1
110850,3528,12.5,6.3,78.8,85.05,15.8,1,2254,5202,1948,1,403000,572000,1,0
111152,3800,17.5,6.6,115.5,118.8,56.1,1,2752,5268,1951,1,568000,702000,0,1
111154,3800,17.6,5.2,91.5,70.2,44.7,1,2757,5263,1954,1,354000,447000,1,0
111253,3528,12.5,6.7,83.8,90.45,10.1,1,2254,5300,1954,1,429000,593000,1,0
111279,3528,13.6,5.6,76.2,75.6,14.6,1,2356,5305,1953,1,363000,499000,1,0
111351,3800,17.6,5.2,91.5,70.2,29.1,1,2760,5316,1952,1,354000,444000,1,0
111734,3800,16.6,8.6,142.8,193.5,39.6,1,2661,5405,1959,2,888000,1087000,1,1
111780,3800,19,11,209,198,77,2,2900,5412,1958,2,959000,1116000,1,1
112896,3525,14.6,9.5,138.7,128.25,24.7,1,2457,5709,1984,2,624000,755000,1,0
112928,3500,16.1,8.5,136.9,153,43.4,2,2610,5714,1988,2,722000,840000,1,0
113203,3525,10.1,8.5,85.9,153,8.5,0,2010,5813,1995,1,681000,776000,0,0
113337,3500,16.7,8.5,142,191.25,65.5,1,2665,5808,1997,2,879000,977000,1,0
113423,3525,11.1,6.8,75.5,122.4,14.3,1,2105,5864,2000,2,550000,623000,1,0
113790,3500,19.6,7.9,154.8,106.65,75.8,2,2955,5912,2011,1,550000,564000,1,0
113853,3525,12.7,8.4,106.7,151.2,14.3,2,2265,5950,2013,2,690000,765000,1,0
120085,3528,14.1,6.5,91.7,87.75,20.2,1,2407,5012,1930,1,424000,591000,1,1
120211,3528,10.5,7,73.5,126,10.5,1,2053,5053,1935,2,563000,759000,1,1
120414,3528,10.6,5.7,60.4,128.25,5.7,0,2058,5100,1935,1,561000,748000,0,1
121172,3800,18.6,6,111.6,108,45.6,2,2859,5267,1954,1,521000,625000,0,1
121295,3528,14.6,6.6,96.4,148.5,30.4,2,2456,5309,1949,2,671000,869000,1,1
121302,3800,15.1,9.1,137.4,163.8,46.4,1,2506,5318,1955,2,765000,997000,1,1
121866,3525,13.2,8.2,108.2,147.6,26.2,2,2315,5464,1965,2,677000,872000,1,0
122187,3800,19,9.9,188.1,133.65,79.2,2,2902,5511,1972,2,685000,796000,1,1
122221,3525,11,9.2,101.2,165.6,9.2,0,2103,5564,1971,1,743000,920000,0,0
122405,3525,10.1,9.2,92.9,207,9.2,0,2009,5617,1976,2,902000,1076000,1,0
122409,3525,10.1,9.3,93.9,209.25,9.3,0,2006,5618,1976,2,912000,1087000,1,0
122780,3500,19.2,10.5,201.6,141.75,96.6,1,2916,5659,1987,1,728000,814000,0,0
123133,3500,16.6,7.4,122.8,166.5,41.4,1,2656,5754,1994,2,764000,864000,1,0
123655,3525,12.7,6.6,83.8,89.1,17.8,1,2266,5918,2009,1,423000,480000,1,0
123888,3525,14.1,8,112.8,144,40.8,1,2408,5955,2012,1,666000,734000,1,0
130174,3800,18.7,5.8,108.5,78.3,38.9,1,2865,5018,1925,1,400000,491000,1,1
130238,3528,11.6,6.2,71.9,139.5,6.2,0,2158,5059,1933,2,616000,843000,1,1
130612,3528,10.5,5.7,59.9,128.25,5.7,0,2052,5157,1937,2,561000,744000,1,1
131237,3528,11.6,9.1,105.6,122.85,9.1,0,2164,5318,1958,1,576000,787000,0,0
131244,3528,12,5.7,68.4,102.6,5.7,0,2202,5306,1950,1,465000,625000,0,0
131258,3528,12.5,5,62.5,112.5,7.5,0,2254,5311,1953,1,500000,661000,0,0
131333,3800,16.6,10.8,179.3,145.8,82.1,2,2658,5318,1957,1,727000,937000,0,1
131426,3528,11,8.8,96.8,118.8,8.8,0,2104,5358,1956,1,553000,740000,0,0
131642,3528,12,10.6,127.2,190.8,10.6,2,2201,5412,1957,1,865000,1128000,0,1
131806,3528,10.2,10.3,105.1,139.05,12.4,2,2018,5466,1972,1,640000,820000,0,0
131844,3528,12,9.6,115.2,129.6,19.2,1,2203,5456,1970,2,611000,804000,1,0
132020,3525,11.2,10.5,117.6,189,23.1,2,2116,5501,1966,1,850000,1073000,0,1
132421,3525,11.1,9.5,105.5,171,20,2,2111,5605,1985,1,768000,941000,0,0
132589,3800,19.1,10.3,196.7,231.75,83.4,2,2905,5604,1984,2,1084000,1204000,1,1
132914,3500,15.7,6.5,102.1,117,30.6,2,2565,5705,1990,1,550000,646000,0,0
133006,3525,10.1,7,70.7,94.5,7.7,0,2005,5755,1999,1,435000,510000,0,0
133441,3525,12.1,6.6,79.9,89.1,20.5,1,2210,5851,2003,1,420000,487000,1,0
133612,3525,10.5,7.4,77.7,133.2,11.1,1,2054,5900,2008,2,595000,663000,1,0
140199,3800,19.6,5.3,103.9,95.4,50.9,1,2956,5012,1927,1,465000,543000,0,1
140606,3528,10,5.6,56,126,5.6,0,2001,5157,1938,1,549000,717000,0,1
140746,3800,17.1,5.3,90.6,119.25,27,1,2710,5161,1944,1,549000,682000,0,1
141192,3800,19.6,6.7,131.3,120.6,64.3,2,2962,5254,1949,1,587000,682000,0,1
141479,3528,13.7,9.5,130.2,128.25,35.2,1,2365,5355,1958,1,617000,836000,0,1
141563,3800,18,5.3,95.4,119.25,31.8,1,2802,5356,1953,1,553000,659000,0,1
141937,3800,16.6,8,132.8,180,44.8,2,2664,5454,1967,1,826000,1001000,0,1
142212,3525,10.5,8.7,91.4,117.45,8.7,0,2054,5557,1973,1,543000,682000,0,0
142392,3800,19.6,9.4,184.2,169.2,99.6,2,2956,5563,1978,2,824000,918000,1,1
142424,3525,11.2,10.3,115.4,231.75,10.3,1,2115,5615,1976,1,1019000,1232000,0,1
142549,3500,17,9.2,156.4,207,73.6,2,2703,5617,1985,1,953000,1106000,0,1
142745,3500,17.1,7.9,135.1,142.2,64,1,2706,5663,1990,1,677000,786000,0,0
142866,3525,13.2,6.9,91.1,155.25,29,2,2318,5707,1990,2,694000,822000,1,0
142945,3500,17.1,8.1,138.5,182.25,57.5,1,2709,5705,1994,1,840000,953000,0,0
142948,3500,17.2,9.4,161.7,211.5,67.7,1,2716,5708,1989,2,975000,1104000,1,1
142971,3500,18.7,7.2,134.6,162,69.8,1,2869,5712,1994,2,756000,826000,1,0
143673,3525,13.5,8.1,109.4,145.8,20.3,1,2350,5907,2010,2,671000,753000,1,0
150058,3528,12.7,6.9,87.6,155.25,25.5,2,2266,5003,1930,1,691000,938000,0,1
150137,3800,16.6,6.2,102.9,111.6,47.1,1,2662,5006,1929,1,529000,674000,0,1
150321,3800,16.1,6.4,103,115.2,45.4,2,2613,5052,1928,1,543000,703000,0,1
150532,3800,16.7,6.4,106.9,144,36.5,2,2668,5111,1931,2,662000,831000,1,1
150633,3528,11.7,7,81.9,94.5,7,0,2169,5159,1937,1,444000,634000,0,1
150695,3528,14.7,5.1,75,91.8,24,1,2469,5160,1945,1,427000,572000,0,0
150709,3800,15.1,5.7,86.1,76.95,23.4,1,2512,5160,1942,1,377000,513000,1,0
150727,3800,16.1,5.6,90.2,126,23,2,2605,5163,1943,2,576000,734000,1,1
150786,3800,19.2,5.2,99.8,93.6,53,1,2916,5150,1943,1,454000,538000,0,1
150801,3528,10.1,5.2,52.5,70.2,5.2,0,2010,5205,1945,1,323000,436000,1,0
150872,3528,13.5,5.4,72.9,121.5,24.3,2,2353,5217,1948,2,544000,728000,1,1
151028,3528,11.2,6.6,73.9,89.1,6.6,0,2115,5252,1945,1,416000,574000,1,0
151072,3528,13.6,6.1,83,137.25,15.9,1,2360,5261,1951,1,615000,816000,0,1
151458,3528,12.6,8.1,102.1,145.8,29.2,2,2256,5361,1958,2,665000,882000,1,1
151617,3528,10.7,10.1,108.1,136.35,10.1,1,2068,5418,1965,1,632000,827000,0,0
152123,3800,16.2,9.2,149,207,47.8,2,2616,5505,1968,2,947000,1147000,1,1
152173,3800,18.6,8,148.8,108,60.8,1,2860,5516,1969,1,551000,648000,0,0
152197,3800,19.6,9.6,188.2,172.8,73,2,2957,5511,1971,1,842000,947000,0,1
152269,3525,13,11,143,247.5,44,2,2303,5557,1973,2,1104000,1365000,1,1
152336,3800,16.6,10.5,174.3,236.25,79.8,1,2662,5555,1979,2,1084000,1287000,1,1
152463,3525,13.1,8.6,112.7,193.5,35.3,2,2311,5606,1977,2,864000,1054000,1,0
152483,3525,14.2,8.6,122.1,154.8,27.5,2,2418,5617,1982,2,717000,878000,1,0
152608,3525,10,9.3,93,209.25,9.3,0,2000,5664,1986,2,911000,1072000,1,0
152842,3525,12,8.3,99.6,186.75,8.3,0,2201,5700,1987,1,827000,980000,0,0
152997,3500,19.6,10.2,199.9,183.6,108.1,2,2958,5711,1989,1,894000,963000,0,1
153107,3500,15.1,8.5,128.4,114.75,43.4,2,2509,5750,1995,1,562000,667000,0,0
153146,3500,17.1,7,119.7,157.5,42.7,1,2706,5757,1995,2,726000,813000,1,0
153302,3500,15.1,8.3,125.3,112.05,25.7,1,2514,5810,2000,1,548000,638000,0,0
153787,3500,19.1,7,133.7,94.5,63.7,1,2914,5907,2002,1,485000,503000,0,0
153832,3525,11.6,7.5,87,101.25,19.5,2,2158,5953,2007,1,475000,530000,1,0
160011,3528,10.6,5.1,54.1,91.8,5.1,0,2057,5009,1927,1,410000,552000,0,1
160260,3528,13.2,6.7,88.4,90.45,28.1,1,2318,5065,1929,1,433000,616000,1,1
160728,3800,16.1,6,96.6,81,42.6,1,2613,5167,1940,1,401000,532000,1,1
160943,3800,17.2,6.7,115.2,150.75,34.8,1,2718,5214,1947,2,695000,858000,1,1
160966,3800,18.2,6.1,111,109.8,37.8,2,2819,5212,1947,1,528000,643000,0,1
160992,3800,19.6,5.5,107.8,99,41.8,1,2955,5202,1945,1,482000,563000,0,1
161211,3528,10.7,6.7,71.7,150.75,6.7,0,2068,5303,1954,2,660000,858000,1,1
161253,3528,12.5,6.4,80,115.2,6.4,0,2252,5319,1950,1,525000,704000,0,0
161321,3800,16.1,6.2,99.8,111.6,44,2,2607,5303,1949,1,526000,673000,0,1
161608,3528,10.2,8.3,84.7,112.05,8.3,0,2019,5400,1962,1,516000,672000,0,0
161720,3800,16.1,8.5,136.9,114.75,51.9,1,2610,5401,1965,1,569000,731000,0,0
161859,3528,12.6,8.2,103.3,110.7,13.1,2,2255,5455,1971,1,525000,694000,0,0
161947,3800,17,9.3,158.1,125.55,74.4,2,2704,5459,1970,1,629000,781000,0,1
162215,3525,10.5,9,94.5,121.5,9,0,2051,5567,1974,2,562000,703000,1,0
162314,3800,15.6,10,156,180,46,1,2561,5563,1973,1,845000,1033000,0,1
162515,3800,15.5,9.1,141.1,204.75,59.2,1,2554,5605,1979,1,932000,1113000,0,1
162933,3500,16.6,6.9,114.5,93.15,45.5,1,2655,5714,1990,1,464000,545000,0,0
163011,3525,10.6,6.9,73.1,93.15,6.9,0,2061,5750,1995,1,431000,511000,0,0
163078,3525,13.6,6.6,89.8,148.5,23.8,1,2362,5759,1997,2,666000,775000,1,0
163457,3525,12.7,8,101.6,144,21.6,1,2268,5852,1999,2,657000,752000,1,0
163511,3500,15.6,7.1,110.8,159.75,39.8,1,2558,5866,2003,2,728000,808000,1,0
163652,3525,12.5,8.5,106.3,153,12.8,2,2252,5912,2008,1,697000,782000,1,0
163985,3500,19,8.5,161.5,191.25,68,2,2903,5953,2012,1,894000,908000,1,0
170537,3800,16.7,6.1,101.9,109.8,28.7,2,2666,5101,1932,1,521000,665000,0,1
170642,3528,12.1,5.5,66.6,99,5.5,0,2205,5169,1941,1,449000,627000,0,1
170685,3528,14,7,98,157.5,35,2,2400,5155,1944,1,708000,946000,0,1
170856,3528,12.7,6.7,85.1,90.45,24.8,1,2266,5219,1948,1,430000,608000,1,0
170913,3800,15.7,5.1,80.1,68.85,29.1,1,2565,5208,1940,1,339000,455000,1,0
171094,3528,14.7,6.1,89.7,82.35,22.6,1,2467,5255,1950,1,401000,546000,1,0
171246,3528,12.1,6.6,79.9,89.1,6.6,0,2205,5310,1954,1,420000,579000,1,0
171377,3800,18.6,9.6,178.6,216,82.6,1,2859,5303,1955,2,1007000,1187000,1,1
171466,3528,13.1,9.3,121.8,209.25,28.8,1,2306,5355,1955,2,934000,1219000,1,1
172050,3525,12.5,10.5,131.3,189,15.8,1,2251,5514,1975,2,861000,1093000,1,1
172201,3525,10.1,9.7,98,130.95,10.7,2,2009,5555,1980,2,602000,751000,1,0
172218,3525,10.7,8.5,91,114.75,8.5,0,2068,5552,1975,1,532000,670000,0,0
172425,3525,11.1,9.3,103.2,209.25,19.5,2,2113,5616,1986,1,920000,1110000,0,0
172526,3500,16.1,11,177.1,198,56.1,1,2614,5617,1980,1,934000,1116000,0,1
172682,3525,14,8.8,123.2,118.8,17.6,2,2403,5652,1986,1,574000,710000,0,0
172788,3500,19.1,9.9,189.1,222.75,80.2,2,2912,5661,1988,1,1042000,1141000,0,1
172805,3525,10.2,8.8,89.8,198,8.8,0,2017,5712,1986,2,864000,1006000,1,0
172998,3500,19.6,8.3,162.7,149.4,88,2,2955,5705,1993,1,728000,785000,0,0
173295,3525,14.5,7.3,105.9,98.55,25.6,1,2450,5808,1996,1,479000,561000,0,0
173311,3500,15.7,7.2,113,129.6,26.6,2,2569,5802,1998,2,609000,695000,1,0
173756,3500,17.6,7.1,125,159.75,61.1,2,2755,5906,2010,1,739000,786000,1,0
173795,3500,19.6,7.1,139.2,95.85,61.1,1,2962,5905,2006,1,495000,507000,1,0
173984,3500,19.2,7.5,144,101.25,54,2,2916,5953,2012,1,520000,531000,1,0
173998,3500,19.5,7,136.5,157.5,59.5,1,2950,5958,2015,1,739000,741000,1,0
180231,3528,11.6,6.7,77.7,150.75,17.4,2,2158,5058,1928,2,665000,911000,1,1
180311,3800,15.6,5,78,67.5,18,1,2560,5058,1933,1,332000,448000,1,1
180863,3528,13.1,5.1,66.8,68.85,20.9,1,2307,5213,1945,1,329000,464000,1,0
180938,3800,16.6,6.8,112.9,91.8,31.3,1,2656,5207,1949,1,458000,598000,0,1
181022,3528,11.1,5.2,57.7,70.2,5.2,0,2110,5255,1950,1,327000,450000,1,0
181183,3800,19.1,5.3,101.2,95.4,37.6,1,2911,5266,1945,1,463000,545000,0,1
181285,3528,14.1,5.4,76.1,121.5,22.1,1,2413,5316,1954,2,547000,712000,1,0
181523,3800,16,5.4,86.4,72.9,27,1,2600,5350,1952,1,361000,469000,1,0
181745,3800,17,8.6,146.2,154.8,43,1,2703,5419,1960,2,736000,903000,1,1
181789,3800,19,10.7,203.3,240.75,96.3,1,2904,5410,1966,2,1126000,1293000,1,1
181982,3800,19.2,10.2,195.8,137.7,83.6,2,2917,5461,1969,1,707000,826000,0,1
182046,3525,12,10.9,130.8,147.15,10.9,1,2200,5512,1976,1,693000,898000,0,0
182130,3800,16.7,8.2,136.9,184.5,38.5,1,2666,5516,1972,2,848000,1014000,1,1
182185,3800,19.2,10.7,205.4,240.75,109.1,1,2915,5511,1975,1,1127000,1271000,0,1
182246,3525,12.1,10.6,128.3,190.8,11.7,1,2205,5562,1975,2,866000,1082000,1,1
182315,3800,15.7,10.3,161.7,139.05,58.7,2,2569,5550,1976,1,686000,858000,0,0
182468,3525,13.1,9.7,127.1,174.6,30.1,2,2308,5618,1979,1,800000,985000,0,0
182893,3525,14.5,8.3,120.4,112.05,37.4,1,2452,5712,1989,1,545000,658000,0,0
183018,3525,10.6,10.4,110.2,140.4,10.4,2,2061,5752,1989,2,650000,769000,1,0
183164,3500,18.1,7.8,141.2,105.3,55.4,2,2811,5769,1998,1,534000,596000,0,0
183299,3525,14.6,8.3,121.2,112.05,29.9,2,2462,5815,1999,1,545000,636000,0,0
183516,3500,15.5,6.7,103.9,120.6,30.2,1,2550,5856,2000,2,566000,636000,1,0
190020,3528,11.1,5.7,63.3,76.95,5.7,0,2110,5005,1923,1,358000,501000,1,1
190756,3800,17.6,5.7,100.3,76.95,31.9,1,2762,5163,1942,1,388000,493000,1,1
191070,3528,13.7,6.9,94.5,155.25,18.6,1,2368,5266,1949,1,697000,922000,0,1
191398,3800,19.5,5.6,109.2,75.6,42,1,2954,5300,1950,1,390000,460000,1,0
191658,3528,12.5,10.9,136.3,147.15,10.9,1,2252,5405,1967,1,698000,935000,0,1
191755,3800,17.6,10.6,186.6,238.5,59.4,1,2757,5405,1957,2,1103000,1320000,1,1
191807,3528,10.1,8.6,86.9,193.5,8.6,0,2008,5467,1968,2,844000,1045000,1,1
191834,3528,11.6,9.7,112.5,130.95,15.5,2,2162,5464,1967,1,614000,804000,0,0
191967,3800,18.1,10.1,182.8,227.25,71.7,1,2810,5455,1962,2,1055000,1235000,1,1
192081,3525,14.1,9.3,131.1,125.55,47.4,2,2405,5518,1974,1,607000,783000,0,0
192279,3525,13.6,9.9,134.6,178.2,45.5,2,2357,5550,1974,2,820000,1029000,1,1
192417,3525,10.6,10.2,108.1,183.6,10.2,2,2059,5612,1985,1,821000,998000,0,0
192711,3500,15.6,10.2,159.1,137.7,46.9,1,2563,5660,1982,2,678000,822000,1,0
192884,3525,14,7.1,99.4,159.75,35.5,2,2402,5713,1994,1,719000,846000,0,0
192903,3500,15.1,9,135.9,162,27.9,1,2511,5711,1988,1,757000,894000,0,0
193363,3500,18.1,7.7,139.4,138.6,62.4,1,2814,5802,1993,1,666000,726000,0,0
193381,3500,19.1,8.4,160.4,151.2,84.8,2,2909,5815,2000,1,733000,778000,0,0
193419,3525,10.6,8.3,88,149.4,8.3,0,2063,5866,1999,1,668000,753000,0,0
193650,3525,12.6,7.4,93.2,166.5,26.6,1,2260,5913,2011,1,741000,824000,1,0
200110,3800,15.6,5.2,81.1,117,29.1,2,2556,5009,1922,1,533000,686000,0,1
200188,3800,19.2,7,134.4,94.5,64.4,1,2917,5016,1923,1,486000,586000,0,1
200201,3528,10.2,5.6,57.1,75.6,5.6,0,2019,5065,1933,1,348000,475000,1,1
201066,3528,13.1,5.8,76,104.4,18,1,2308,5267,1952,1,478000,649000,0,0
201367,3800,18,9.4,169.2,169.2,65.8,2,2802,5312,1955,2,812000,985000,1,1
201397,3800,19.5,6.2,120.9,111.6,65.1,2,2951,5319,1949,1,543000,629000,0,1
201919,3800,15.6,8.8,137.3,158.4,58.1,1,2564,5453,1967,2,743000,933000,1,1
202168,3800,18.1,8.1,146.6,145.8,65.6,2,2813,5516,1968,2,700000,820000,1,1
202259,3525,12.5,9.5,118.8,171,23.8,1,2251,5566,1976,1,779000,974000,0,0
202345,3800,17.2,8.3,142.8,149.4,51.5,1,2716,5569,1975,2,712000,844000,1,0
203258,3525,12.5,7.5,93.8,101.25,7.5,0,2252,5805,2002,1,480000,566000,0,0
203463,3525,13.2,6.5,85.8,117,7.8,0,2318,5854,2005,1,537000,614000,0,0
203886,3525,14.2,8.1,115,182.25,42.1,1,2416,5955,2007,2,821000,897000,1,0
210451,3528,12.7,5.3,67.3,119.25,19.6,1,2265,5113,1930,1,531000,730000,0,1
210942,3800,17.1,5.2,88.9,93.6,42.1,1,2705,5200,1938,1,446000,561000,0,1
210982,3800,19.2,6.1,117.1,109.8,50,1,2918,5210,1943,1,533000,629000,0,1
210992,3800,19.6,6,117.6,135,63.6,2,2959,5216,1944,2,634000,730000,1,1
211383,3800,19,6.8,129.2,91.8,61.2,1,2904,5302,1954,1,471000,565000,0,1
211529,3800,16,9.9,158.4,178.2,49.5,1,2604,5360,1959,2,840000,1064000,1,1
211555,3800,17.5,9,157.5,121.5,67.5,2,2751,5354,1959,1,612000,765000,0,1
211607,3528,10.1,9,90.9,162,9,0,2011,5411,1962,1,721000,916000,0,1
211742,3800,17.1,10.7,183,192.6,54.6,2,2712,5409,1964,1,917000,1124000,0,1
211811,3528,10.6,9.9,104.9,178.2,9.9,0,2060,5466,1967,2,797000,1008000,1,1
212203,3525,10,9.9,99,178.2,9.9,0,2002,5564,1972,1,792000,967000,0,0
212234,3525,11.5,9,103.5,202.5,9,0,2152,5560,1981,2,893000,1098000,1,0
212478,3525,13.5,9.2,124.2,124.2,13.8,2,2353,5613,1978,1,596000,749000,0,0
212614,3525,10.6,9.7,102.8,130.95,9.7,0,2062,5651,1988,1,606000,741000,0,0
213079,3525,13.6,8.4,114.2,151.2,38.6,2,2359,5766,1993,1,696000,818000,0,0
213211,3525,10.6,7,74.2,126,7,0,2060,5812,1996,2,563000,646000,1,0
213263,3525,13.1,7.4,96.9,166.5,22.9,2,2313,5804,2002,2,744000,855000,1,0
213322,3500,16.1,8.4,135.2,189,42.8,1,2609,5818,1999,1,864000,966000,0,0
213713,3500,15.7,8,125.6,144,45.6,1,2565,5914,2003,1,676000,745000,0,0
213823,3525,11.1,6.5,72.2,146.25,7.2,0,2112,5966,2016,1,643000,700000,1,0
213941,3500,17.1,6.5,111.2,146.25,52.7,1,2708,5964,2014,1,674000,710000,1,0
213951,3500,17.7,8.4,148.7,189,47.9,2,2769,5951,2007,2,875000,916000,1,0
213955,3500,17.6,7.8,137.3,105.3,43.7,1,2757,5969,2014,1,531000,561000,1,0
220022,3528,11.1,6.1,67.7,137.25,12.8,1,2106,5010,1926,1,603000,809000,0,1
220551,3800,17.5,6.5,113.8,87.75,48.8,1,2752,5100,1938,1,442000,564000,1,1
220649,3528,12.2,6,73.2,135,7.2,0,2219,5154,1937,1,599000,823000,0,1
220673,3528,13.6,5,68,112.5,8,0,2360,5163,1935,1,504000,679000,0,1
220744,3800,17.1,5.7,97.5,128.25,46.2,2,2706,5151,1938,1,591000,734000,0,1
220752,3800,17.6,5.6,98.6,75.6,42.6,1,2759,5155,1941,1,381000,485000,1,1
220756,3800,17.6,6.9,121.4,93.15,45.5,1,2757,5159,1936,1,470000,598000,0,1
220866,3528,13.1,5.7,74.7,102.6,17.7,2,2305,5208,1948,1,470000,646000,0,0
220891,3528,14.6,5.9,86.1,79.65,15.3,1,2458,5212,1949,1,387000,532000,1,0
220939,3800,16.5,5.1,84.2,68.85,28.1,1,2650,5201,1944,1,343000,449000,1,0
220969,3800,18,5.7,102.6,76.95,45.6,1,2801,5206,1940,1,390000,488000,1,1
220975,3800,18.6,6.3,117.2,85.05,54.2,1,2861,5209,1942,1,434000,533000,1,1
221141,3800,17.1,5.3,90.6,95.4,27,1,2710,5264,1948,1,454000,568000,0,0
221208,3528,10.1,6.6,66.7,89.1,6.6,0,2011,5308,1949,1,410000,544000,1,0
221327,3800,16.1,5.4,86.9,72.9,32.9,1,2609,5313,1952,1,361000,472000,1,0
221368,3800,18.1,5.1,92.3,114.75,46.4,2,2813,5301,1954,1,533000,636000,0,0
221370,3800,18.5,8.5,157.3,153,55.3,1,2854,5318,1956,2,738000,881000,1,1
221514,3800,15.7,9.7,152.3,174.6,55.3,2,2565,5361,1957,1,820000,1048000,0,1
221758,3800,17.7,9.2,162.8,207,52.4,1,2765,5407,1966,1,958000,1144000,0,1
221763,3800,18.2,10,182,135,92,2,2817,5400,1959,2,686000,835000,1,1
221848,3528,12.1,10.2,123.4,183.6,10.2,1,2213,5451,1962,1,833000,1075000,0,1
221997,3800,19.5,9.8,191.1,220.5,93.1,1,2952,5453,1962,2,1035000,1165000,1,1
222581,3800,19,10.4,197.6,140.4,83.2,2,2904,5607,1982,1,720000,818000,0,1
222624,3525,11.2,8.8,98.6,198,8.8,0,2115,5664,1981,2,871000,1038000,1,0
223244,3525,12.1,6.8,82.3,153,7.5,0,2210,5809,2001,2,678000,778000,1,0
223259,3525,12.6,6.9,86.9,93.15,17.9,1,2256,5803,1993,1,442000,522000,0,0
223287,3525,14.1,6.9,97.3,155.25,35.2,2,2407,5804,1997,2,699000,801000,1,0
223413,3525,10.7,7.8,83.5,140.4,13.3,1,2065,5864,2007,2,628000,709000,1,0
223634,3525,11.5,6.7,77.1,90.45,6.7,0,2153,5903,2008,1,423000,481000,1,0
223810,3525,10.7,6.5,69.6,87.75,6.5,0,2068,5956,2009,1,407000,450000,1,0
223925,3500,16.1,7.4,119.1,166.5,37.7,2,2606,5960,2009,2,761000,816000,1,0
223981,3500,19.1,8.3,158.5,112.05,67.2,1,2912,5957,2014,1,575000,587000,1,0
230011,3528,10.7,5.1,54.6,68.85,5.1,0,2068,5003,1928,1,319000,440000,1,1
230157,3800,17.5,6.4,112,86.4,41.6,1,2754,5014,1924,1,435000,553000,1,1
230238,3528,11.5,6.1,70.2,82.35,6.1,0,2151,5060,1928,1,386000,551000,1,1
230344,3800,17.1,6.1,104.3,82.35,37.2,1,2709,5067,1932,1,413000,533000,1,1
230509,3800,15.1,5.9,89.1,106.2,36,1,2510,5118,1936,1,496000,659000,0,1
230714,3800,15.7,5.6,87.9,100.8,31.9,2,2567,5166,1937,1,474000,620000,0,1
230758,3800,17.5,6,105,135,33,1,2754,5168,1941,1,624000,765000,0,1
230802,3528,10.1,5.8,58.6,130.5,6.4,0,2012,5211,1942,2,569000,741000,1,1
231125,3800,16,5.3,84.8,119.25,26.5,1,2603,5258,1950,1,545000,689000,0,1
231325,3800,16,5.2,83.2,70.2,20.8,1,2600,5312,1949,1,347000,455000,1,0
231553,3800,17.7,5.9,104.4,79.65,39.5,1,2768,5357,1954,1,402000,500000,1,0
231599,3800,19.5,9.3,181.4,125.55,88.4,1,2952,5357,1959,2,647000,759000,1,1
